Restaurant,SubCategory,Item,Calories
Taco Bell,Soda,Sierra Mist 40 oz,500
Wendy's,Coffee,"Caramel Iced Coffee, Small",80
Wendy's,Coffee,"Mocha Iced Coffee, Small",100
Wendy's,Coffee,"Original Redhead Hot Coffee, Decaffeinated, Small",10
Wendy's,Coffee,"Original Redhead Hot Coffee, Small",10
Wendy's,Coffee,"Redhead RoastersÂ®Hot Coffee, Regular",0
Wendy's,Coffee,"Skinny Vanilla Iced Coffee, Small",60
Wendy's,Coffee,"Vanilla Iced Coffee, Small",90
Wendy's,Iced Tea,Strawberry Iced Tea,50
Wendy's,Juice,"All Natural Lemonade, Small Cup",190
Wendy's,Juice,"Hi-C Flashin' Fruit Punch, Small Cup",170
Wendy's,Juice,Juicy Juice Apple Juice,90
Wendy's,Juice,"Minute Maid Light Lemonade, Small Cup",5
Wendy's,Juice,Strawberry Lemonade,200
Wendy's,Juice,"Orange Juice, Small",130
Wendy's,Milk,TruMoo Lowfat Chocolate Milk,140
Wendy's,Milk,TruMoo Lowfat White Milk,100
Wendy's,Shake,"Chocolate Frosty, Small",300
Wendy's,Shake,"Vanilla Frosty, Small",280
Wendy's,Soda,"Barq's Root Beer, Small Cup",180
Wendy's,Soda,Brewed Sweetened Iced Tea,110
Wendy's,Soda,Brewed Unsweetened Iced Tea,5
Wendy's,Soda,"Coca-Cola, Small Cup",200
Wendy's,Soda,"Coke Zeroâ„¢, Small Cup",0
Wendy's,Soda,"Diet Coke, Small Cup",0
Wendy's,Soda,"Dr Pepper, Small Cup",160
Wendy's,Soda,"Fanta Orange, Small Cup",180
Wendy's,Soda,"Pibb Xtra, Small Cup",160
Wendy's,Soda,"Sprite, Small Cup",160
Wendy's,Tea,"English Breakfast Premium Hot Tea, Small",0
Wendy's,Tea,"Lemongrass Green Premium Hot Tea, Small",0
Wendy's,Water,NestlÃ© Pure Life Bottled Water,0
Whataburger,Coffee,Coffee Large,10
Whataburger,Coffee,Coffee Medium,5
Whataburger,Coffee,Coffee Small,0
Whataburger,Coffee,Decaf Coffee Large,10
Whataburger,Coffee,Decaf Coffee Medium,10
Whataburger,Coffee,Decaf Coffee Small,5
Whataburger,Iced Tea,Sweet Tea Kids,160
Whataburger,Iced Tea,Sweet Tea Large,460
