Restaurant,Category,SubCategory,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Burger King,Beverage,Slush,Frozen SURGE™ Large,120,0,0,0,0,0,10,32,0,29,0
Burger King,Beverage,Slush,Frozen SURGE™ Medium,100,0,0,0,0,0,5,27,0,24,0
Burger King,Beverage,Slush,Frozen SURGE™ Small,80,0,0,0,0,0,5,22,0,20,0
Burger King,Beverage,Slush,Blue Raspberry ICEE,120,0,0,0,0,0,10,32,0,23,0
Burger King,Beverage,Soda,Barq's Root Beer,220,0,0,0,0,0,25,61,0,61,0
Burger King,Beverage,Soda,Cherry Coke,200,0,0,0,0,0,10,56,0,56,0
Burger King,Beverage,Soda,Coca Cola Classic,190,0,0,0,0,0,0,51,0,51,0
Burger King,Beverage,Soda,Diet Coke,0,0,0,0,0,0,20,0,0,0,0
Burger King,Beverage,Soda,Dr. Pepper,190,0,0,0,0,0,45,51,0,51,0
Burger King,Beverage,Soda,Fanta Orange,210,0,0,0,0,0,0,56,0,56,0
Burger King,Beverage,Soda,Sprite,190,0,0,0,0,0,40,51,0,51,0
Burger King,Beverage,Soda,Vault,210,0,0,0,0,0,20,56,0,56,0
Burger King,Breakfast,French Toast,French Toast Sticks 3 Piece,230,100,11,2,0,0,260,29,1,8,3
Burger King,Breakfast,French Toast,French Toast Sticks 5 Piece,380,160,18,3,0,0,430,49,2,13,5
Burger King,Breakfast,Meal,Bk Ultimate Breakfast Platter,1450,750,84,30,1,505,2920,134,5,41,40
Burger King,Breakfast,Meal,Pancake Platter w/ Sausage & 1 oz Breakfast Syrup,670,300,34,9,0,125,1010,78,1,36,14
Burger King,Breakfast,Oatmeal,Oatmeal,170,35,4,2,0,5,260,32,3,9,4
Burger King,Breakfast,Oatmeal,Quaker Oatmeal Maple and Brown Sugar Flavor,270,40,4,2,0,5,290,55,5,29,5
Burger King,Breakfast,Oatmeal,Quaker Oatmeal Original,140,30,4,1,0,5,100,23,3,1,5
Burger King,Breakfast,Pancake,Pancakes (3) and 1 oz breakfast syrup,500,170,19,5,0,95,700,77,1,36,7
Burger King,Breakfast,Potato,Hash Browns Large,670,390,44,9,0,0,1080,65,9,0,5
Burger King,Breakfast,Potato,Hash Browns Medium,500,290,33,7,0,0,810,48,7,0,4
Burger King,Breakfast,Potato,Hash Browns Small,250,150,16,4,0,0,410,24,3,0,2
Burger King,Breakfast,Roll,Cinnabon Roll,300,100,11,5,0,5,280,45,2,20,6
Burger King,Breakfast,Roll,Otis Spunkmeyer® Cinnamon Roll,280,100,11,6,0,15,280,41,2,22,4
Burger King,Breakfast,Sandwich,"Bacon, Egg & Cheese Biscuit",470,250,28,17,1,185,1420,33,1,4,17
Burger King,Breakfast,Sandwich,"BK Breakfast Muffin Sandwich w/ Bacon, Egg, and Cheese",250,100,11,5,0,165,760,22,1,2,14
Burger King,Breakfast,Sandwich,BK Breakfast Muffin Sandwich w/ Egg and Cheese,220,80,9,4,0,160,650,22,1,2,12
Burger King,Breakfast,Sandwich,"BK Breakfast Muffin Sandwich w/ Ham, Egg, and Cheese",250,80,9,4,0,175,1090,23,1,3,18
Burger King,Breakfast,Sandwich,BK Breakfast Muffin Sandwich w/ Sausage and Cheese,330,180,20,7,0,45,750,23,1,1,14
Burger King,Breakfast,Sandwich,"BK Breakfast Muffin Sandwich w/ Sausage, Egg, and Cheese",390,210,23,9,0,195,960,23,1,2,20
Burger King,Breakfast,Sandwich,Country Ham and Egg Biscuit,420,210,23,15,0.5,185,1990,32,1,3,18
Burger King,Breakfast,Sandwich,"CROISSAN'WICH Bacon, Egg & Cheese",380,190,22,8,0,190,890,26,0,5,15
Burger King,Breakfast,Sandwich,CROISSAN'WICH Egg & Cheese,320,140,16,7,0,180,680,26,0,5,11
Burger King,Breakfast,Sandwich,"CROISSAN'WICH Ham, Egg & Cheese",350,150,17,7,0,200,1110,27,0,5,18
Burger King,Breakfast,Sandwich,CROISSAN'WICH Sausage & Cheese,380,220,24,10,0,50,780,26,0,3,14
